TPropertyName	TPropertyValue	TThumbPath	TLabel	TCategory	TCategory2	TPath	TParentDir	TTags	TDescription	TParameter	TComment
GFPGANv1.4.pth	GFPGANv1.4.pth		GFPGANv1.4.pth	models	GFPGAN	D:\_Apps.AI.data\sd\models\GFPGAN\GFPGANv1.4.pth	models\GFPGAN	GFPGAN	=> LoadfromJson(filePath);		
parsing_parsenet.pth	parsing_parsenet.pth		parsing_parsenet.pth	models	GFPGAN	D:\_Apps.AI.data\sd\models\GFPGAN\parsing_parsenet.pth	models\GFPGAN	GFPGAN	=> LoadfromJson(filePath);		
model.ckpt	model.ckpt		model.ckpt	models	LDSR	D:\_Apps.AI.data\sd\models\LDSR\model.ckpt	models\LDSR	LDSR	=> LoadfromJson(filePath);		
thermal vision style v3.safetensors	thermal vision style v3.safetensors		thermal vision style v3.safetensors	models	Lora	D:\_Apps.AI.data\sd\models\Lora\thermal vision style v3.safetensors	models\Lora	Lora	=> LoadfromJson(filePath);		
see-through_V1.safetensors	see-through_V1.safetensors		see-through_V1.safetensors	models	LyCORIS	D:\_Apps.AI.data\sd\models\LyCORIS\see-through_V1.safetensors	models\LyCORIS	LyCORIS	=> LoadfromJson(filePath);		
body_pose_model.pth	body_pose_model.pth		body_pose_model.pth	models	openpose	D:\_Apps.AI.data\sd\models\openpose\body_pose_model.pth	models\openpose	openpose	=> LoadfromJson(filePath);		
raft-things.pth	raft-things.pth		raft-things.pth	models	RAFT	D:\_Apps.AI.data\sd\models\RAFT\raft-things.pth	models\RAFT	RAFT	=> LoadfromJson(filePath);		
RealESRGAN_x4plus.pth	RealESRGAN_x4plus.pth		RealESRGAN_x4plus.pth	models	RealESRGAN	D:\_Apps.AI.data\sd\models\RealESRGAN\RealESRGAN_x4plus.pth	models\RealESRGAN	RealESRGAN	=> LoadfromJson(filePath);		
RealESRGAN_x4plus_anime_6B.pth	RealESRGAN_x4plus_anime_6B.pth		RealESRGAN_x4plus_anime_6B.pth	models	RealESRGAN	D:\_Apps.AI.data\sd\models\RealESRGAN\RealESRGAN_x4plus_anime_6B.pth	models\RealESRGAN	RealESRGAN	=> LoadfromJson(filePath);		
SadTalker_V0.0.2_256.safetensors	SadTalker_V0.0.2_256.safetensors		SadTalker_V0.0.2_256.safetensors	models	SadTalker	D:\_Apps.AI.data\sd\models\SadTalker\SadTalker_V0.0.2_256.safetensors	models\SadTalker	SadTalker	=> LoadfromJson(filePath);		
SadTalker_V0.0.2_512.safetensors	SadTalker_V0.0.2_512.safetensors		SadTalker_V0.0.2_512.safetensors	models	SadTalker	D:\_Apps.AI.data\sd\models\SadTalker\SadTalker_V0.0.2_512.safetensors	models\SadTalker	SadTalker	=> LoadfromJson(filePath);		
ScuNET.pth	ScuNET.pth		ScuNET.pth	models	ScuNET	D:\_Apps.AI.data\sd\models\ScuNET\ScuNET.pth	models\ScuNET	ScuNET	=> LoadfromJson(filePath);		
SwinIR_4x.pth	SwinIR_4x.pth		SwinIR_4x.pth	models	SwinIR	D:\_Apps.AI.data\sd\models\SwinIR\SwinIR_4x.pth	models\SwinIR	SwinIR	=> LoadfromJson(filePath);		
